Time,Knee_gyro,Knee_accel,Knee_fusion,Ankle_gyro,Ankle_accel,Ankle_fusion
0.499996,-19.050986675572883,-19.421532566238312,-19.65869211720103,-50.48159880960687,-51.6775007151387,-51.61810706664074
0.50582,-19.03936180967496,-19.389254926983188,-19.63709589798437,-50.452132229131074,-51.63942074146423,-51.59208521727844
0.51164,-19.028978437306026,-19.367859432249645,-19.616660756890116,-50.4233682703159,-51.59801286200692,-51.56590359152832
0.517448,-19.019781993418643,-19.358751783335062,-19.597884625218857,-50.3951860804853,-51.555756944139844,-51.539468495333715
0.523272,-19.011706800418125,-19.363199190789665,-19.581285622873246,-50.36747187768768,-51.51504440196331,-51.512824516524056
0.529088,-19.00469131969837,-19.381413391353075,-19.567377234467333,-50.34013788138269,-51.47756835034802,-51.48616297371318
0.534904,-18.998695871380367,-19.411522310407776,-19.55664200770335,-50.31314148332304,-51.44438366939035,-51.45982052240573
0.540728,-18.99372469005527,-19.449627376448937,-19.549518475161715,-50.286504120459945,-51.416841219096966,-51.434268574611856
0.546548,-18.98985586808708,-19.491487009956458,-19.546411614778222,-50.26033100116776,-51.39668145587872,-51.41008436361241
0.552348,-18.987278709578234,-19.53424489666721,-19.54772674953068,-50.23483035710899,-51.38463760571311,-51.38789148529979
0.558172,-18.9863305511582,-19.57640149489616,-19.553916923247233,-50.21032712335761,-51.37940586427435,-51.36827035720834
0.56398,-18.987521055911323,-19.61718209338286,-19.565528448083814,-50.1872623290922,-51.377500059466946,-51.35165735989547
0.569784,-18.99153674737941,-19.657437278921062,-19.583226248676567,-50.166172710137545,-51.37329295516417,-51.33826473382322
0.575592,-18.999224275459987,-19.70080191919873,-19.6077753704833,-50.14765216257135,-51.36034856471586,-51.32805556557861
0.581404,-19.011550125760657,-19.752266725133577,-19.63995504897184,-50.13229788412297,-51.33439654527042,-51.32079131119438
0.587212,-19.029533918169015,-19.814654156809635,-19.680402100866058,-50.120645302157484,-51.295692601240205,-51.31613871518446
0.593028,-19.05416225294578,-19.885392840594125,-19.729416137178493,-50.11310346226698,-51.24933642545289,-51.31379967444946
0.598848,-19.08630394945749,-19.955153055263754,-19.786790506251503,-50.10990581850416,-51.20385400395766,-51.313623293136146
0.604664,-19.12665063299935,-20.009889239191562,-19.851743197060642,-50.1110837414998,-51.16860536291191,-51.31567165348502
0.610468,-19.17570046967322,-20.035647911169022,-19.922995005044307,-50.11646478107065,-51.15173304093662,-51.32023315219049
0.616284,-19.233789499060112,-20.023042754772643,-19.998984724290292,-50.125694863906496,-51.160205521438556,-51.32779511611561
0.622096,-19.301155459138347,-19.970046470099092,-20.078154945371566,-50.138269894697345,-51.2005414703456,-51.3389873540992
0.627912,-19.3780097584338,-19.882661600158517,-20.159210776762276,-50.15355394469823,-51.27863504767684,-51.35449799997362
0.633728,-19.464598245561497,-19.77199501357807,-20.241262353060016,-50.170773176361685,-51.399172722561474,-51.37495543460214
0.63954,-19.561240487514215,-19.648284128834188,-20.323814765474882,-50.188988968328005,-51.564567546692224,-51.40076861158207
